구군명,설치위치,설치연도,도로명 주소,지번 주소,위도,경도,데이터기준일자,횡단보도 유무
중구,옥교어린이집 내,,울산광역시 중구 옥교8길 45(학산동),울산광역시 중구 학산동 18-1,35.5525852,129.3301689,2020-09-23,X
중구,병영어린이집 내,,울산광역시 중구 곽남3안길 19(남외동),울산광역시 중구 남외동 301,35.5712992,129.3448457,2020-09-23,X
중구,우정선경 2차 아파트 ,,,,,,2020-09-23,X
중구,공룡발자국공원,,-,울산광역시 중구 유곡동 259-2,35.5623671,129.3008377,2020-09-23,X
중구,다운동 (입화산 참살이숲 어린이놀이터),,,,,,2020-09-23,X
중구,황방산 생태야영장,,-,울산광역시 중구 장현동 469,35.58846,129.3289857,2020-09-23,X
중구,태화연캠핑장,,-,울산광역시 중구 태화동 281,35.5610025,129.2867345,2020-09-23,X
울주군,울주 문화예술회관 앞,2018,울산광역시 울주군 범서읍 천상중앙길 36,울산광역시 울주군 범서읍 천상리 376-1 울주문화예술회관,35.5644424,129.2320794,2020-09-23,O
울주군,장검교차로(원예농협하나로마트 앞),2018,울산광역시 울주군 범서읍 장검길 10,울산광역시 울주군 범서읍 굴화리 295-1 울산원예농협하나로마트,35.5575976,129.2539559,2020-09-23,O
울주군,장검교차로(타이어뱅크 앞),2018,울산광역시 울주군 범서읍 울밀로 2808,울산광역시 울주군 범서읍 굴화리 327-2,35.5580053,129.2553972,2020-09-23,O
울주군,늘푸른정형외과 건너편(구영2차푸르지오 앞),2018,울산광역시 울주군 범서읍 구영로 101-7(구영2차푸르지오),울산광역시 울주군 범서읍 구영리 209-1 구영2차푸르지오,35.5749141,129.2423842,2020-09-23,O
울주군,늘푸른정형외과 건너편(우미린아파트 앞),2018,울산광역시 울주군 범서읍 대리로 15-15,울산광역시 울주군 범서읍 구영리 207-1 구영우미린2차아파트,35.5771773,129.2414483,2020-09-23,O
울주군,온산읍행정복지센터 앞,2018,울산광역시 울주군 온산읍 덕신로 303,울산광역시 울주군 온산읍 덕신리 36-4 온산읍 행정복지센터,35.4346936,129.3144896,2020-09-23,O
울주군,언양읍행정복지센터 뒤,2018,울산광역시 울주군 언양읍 동문길 7,울산광역시 울주군 언양읍 동부리 388-2 언양읍 행정복지센터,35.5694064,129.1257998,2020-09-23,O
울주군,남창2교 사거리,2018,울산광역시 울주군 온양읍 남창강변로 34,울산광역시 울주군 온양읍 운화리 74-3,35.4159734,129.2800676,2020-09-23,O
울주군,군청사 앞,2018,울산광역시 울주군 청량읍 군청로 1,울산광역시 울주군 청량읍 율리 1497 울주군청,35.522062,129.242507,2020-09-23,O
